family,role,level,mean,std,count
Gemma-2-2B,base,L0_neutral,0.51,0.158,300
Gemma-2-2B,base,L1_weak,0.386,0.039,300
Gemma-2-2B,base,L2_medium,0.393,0.043,300
Gemma-2-2B,base,L3_strong,0.401,0.038,300
Gemma-2-2B,instruct,L0_neutral,0.566,0.449,300
Gemma-2-2B,instruct,L1_weak,0.405,0.393,300
Gemma-2-2B,instruct,L2_medium,0.339,0.382,300
Gemma-2-2B,instruct,L3_strong,0.532,0.357,300
Llama-3.2-1B,base,L0_neutral,0.584,0.12,300
Llama-3.2-1B,base,L1_weak,0.501,0.019,300
Llama-3.2-1B,base,L2_medium,0.496,0.019,300
Llama-3.2-1B,base,L3_strong,0.516,0.023,300
Llama-3.2-1B,instruct,L0_neutral,0.448,0.298,300
Llama-3.2-1B,instruct,L1_weak,0.525,0.11,300
Llama-3.2-1B,instruct,L2_medium,0.465,0.116,300
Llama-3.2-1B,instruct,L3_strong,0.32,0.097,300
Qwen2.5-1.5B,base,L0_neutral,0.463,0.342,300
Qwen2.5-1.5B,base,L1_weak,0.419,0.084,300
Qwen2.5-1.5B,base,L2_medium,0.442,0.081,300
Qwen2.5-1.5B,base,L3_strong,0.529,0.099,300
Qwen2.5-1.5B,instruct,L0_neutral,0.493,0.403,300
Qwen2.5-1.5B,instruct,L1_weak,0.199,0.11,300
Qwen2.5-1.5B,instruct,L2_medium,0.219,0.099,300
Qwen2.5-1.5B,instruct,L3_strong,0.771,0.201,300
